drugbank_id,drug_name,targets,n_targets,name_normalized,dili_label,is_dili
DB01039,Fenofibrate,"['PPARA', 'NR1I2', 'MMP25']",3,fenofibrate,,
DB01047,Fluocinonide,"['ESRRA', 'NR3C1', 'SMO']",3,fluocinonide,,
DB01050,Ibuprofen,"['PTGS2', 'CXCL8', 'CXCR1', 'THBD', 'PPARG', 'PPARA']",6,ibuprofen,Most-DILI,1.0
DB01065,Melatonin,"['ESR1', 'CALR', 'CALM1']",3,melatonin,,
DB01073,Fludarabine,"['ADA', 'DCK', 'POLA1', 'RRM1']",4,fludarabine,,
DB01074,Perhexiline,"['CPT1A', 'CPT1B', 'CPT2']",3,perhexiline,,
DB01076,Atorvastatin,"['HMGCR', 'DPP4', 'AHR', 'HDAC2', 'NR1I3']",5,atorvastatin,Most-DILI,1.0
DB01077,Etidronic acid,"['PTPRS', 'ATP6V1A', 'SLC25A4', 'SLC25A5', 'SLC25A6']",5,etidronicacid,,
DB01083,Orlistat,"['PNLIP', 'LIPF', 'FASN']",3,orlistat,,
DB01088,Iloprost,"['PTGIR', 'PDE4A', 'PDE4B', 'PLAT']",4,iloprost,,
DB01094,Hesperetin,"['DGAT1', 'MTTP', 'SOAT1', 'SHBG', 'SOAT2']",5,hesperetin,,
DB01097,Leflunomide,"['DHODH', 'AHR', 'PTK2B']",3,leflunomide,Most-DILI,1.0
DB01109,Heparin,"['SERPINC1', 'F10', 'FGFR4', 'FGFR1', 'FGFR2', 'HGF']",6,heparin,No-DILI,0.0
DB01110,Miconazole,"['NOS3', 'NR1I2', 'KCNMA1']",3,miconazole,,
DB01115,Nifedipine,"['NR1I2', 'KCND3', 'CALM1']",3,nifedipine,Less-DILI,1.0
DB01118,Amiodarone,"['THRA', 'PPARG', 'PPARA']",3,amiodarone,Most-DILI,1.0
DB01126,Dutasteride,"['SRD5A1', 'SRD5A3', 'SRD5A2']",3,dutasteride,,
DB01133,Tiludronic acid,"['PTPN12', 'PTPN6', 'ATP6V0A1']",3,tiludronicacid,,
DB01136,Carvedilol,"['ADRA1A', 'ADRA1A', 'NDUFC2', 'ADRB2', 'GJA1', 'VCAM1', 'ADRA1B', 'ADRA2B', 'SELE', 'HIF1A', 'KCNJ4']",11,carvedilol,,
DB01138,Sulfinpyrazone,"['ABCC1', 'ABCC2', 'NR1I2']",3,sulfinpyrazone,,
DB01151,Desipramine,"['ADRB2', 'SMPD1', 'ADRA1A']",3,desipramine,,
DB01159,Halothane,"['ATP2B1', 'KCNMA1', 'MT-ND1', 'GNG2']",4,halothane,Most-DILI,1.0
DB01162,Terazosin,"['ADRA1A', 'ADRA1B', 'TGFB1']",3,terazosin,,
DB01169,Arsenic trioxide,"['IKBKB', 'TXNRD1', 'JUN', 'CCND1', 'MAPK3', 'MAPK1', 'AKT1', 'CDKN1A', 'HDAC1', 'PML']",10,arsenictrioxide,,
DB01171,Moclobemide,"['MAOA', 'MAOA', 'MAOB']",3,moclobemide,,
DB01179,Podofilox,"['TOP2B', 'TUBA4A', 'TUBB']",3,podofilox,,
DB01183,Naloxone,"['CREB1', 'ESR1', 'TLR4', 'CES1']",4,naloxone,,
DB01185,Fluoxymesterone,"['AR', 'ESR1', 'NR3C1', 'HSD11B2']",4,fluoxymesterone,,
DB01197,Captopril,"['MMP2', 'MMP9', 'LTA4H']",3,captopril,,
DB01200,Bromocriptine,"['ADRA2B', 'ADRA1A', 'ADRA1B']",3,bromocriptine,,
DB01213,Fomepizole,"['ADH1A', 'ADH1B', 'ADH1C', 'CAT']",4,fomepizole,,
DB01216,Finasteride,"['SRD5A2', 'SRD5A3', 'SRD5A1', 'AKR1D1']",4,finasteride,,
DB01218,Halofantrine,"['CALM1', 'CALM3', 'CALM2']",3,halofantrine,,
DB01225,Enoxaparin,"['SERPINC1', 'F10', 'F2']",3,enoxaparin,No-DILI,0.0
DB01234,Dexamethasone,"['NR3C1', 'ANXA1', 'NR1I2']",3,dexamethasone,No-DILI,0.0
DB01238,Aripiprazole,"['ADRA1A', 'ADRA1B', 'ADRA2B', 'ADRB2']",4,aripiprazole,,
DB01241,Gemfibrozil,"['PPARA', 'SLCO1B1', 'SLCO1B3']",3,gemfibrozil,,
DB01244,Bepridil,"['CACNA1H', 'ATP1A1', 'TNNC1', 'CALM1']",4,bepridil,,
DB01254,Dasatinib,"['ABL1', 'SRC', 'EPHA2', 'LCK', 'YES1', 'PDGFRB', 'FYN', 'BCR', 'STAT5B', 'ABL2', 'CSK', 'EPHB4', 'FGR', 'FRK', 'HSPA8', 'LYN', 'MAP3K20', 'MAPK14', 'PPAT']",19,dasatinib,,
DB01259,Lapatinib,"['EGFR', 'EEF2K', 'ERBB2']",3,lapatinib,,
DB01262,Decitabine,"['DNMT1', 'DNMT3A', 'HDAC1']",3,decitabine,,
DB01267,Paliperidone,"['ADRA1A', 'ADRA1B', 'ADRA2B']",3,paliperidone,,
DB01268,Sunitinib,"['PDGFRB', 'FLT1', 'KDR', 'FLT4', 'CSF1R', 'PDGFRA', 'MET']",7,sunitinib,,
DB01275,Hydralazine,"['AOC3', 'HIF1A', 'P4HA1']",3,hydralazine,Less-DILI,1.0
DB01277,Mecasermin,"['IGFBP3', 'INSR', 'IGF2R']",3,mecasermin,,
DB01278,Pramlintide,"['RAMP1', 'RAMP2', 'RAMP3']",3,pramlintide,,
DB01280,Nelarabine,"['POLA1', 'LIG1', 'PRIM1', 'RRM1']",4,nelarabine,,
DB01303,Oxtriphylline,"['PDE4A', 'ADORA2A', 'HDAC2']",3,oxtriphylline,,
DB01356,Lithium cation,"['GSK3B', 'IMPA1', 'IMPA2']",3,lithiumcation,,
DB01363,Ephedra sinica root,"['ADRA2B', 'MAOA', 'MAOB', 'ADRB2']",4,ephedrasinicaroot,,
DB01370,Aluminium,"['ATP1A1', 'APP', 'TF']",3,aluminium,,
DB01373,Calcium,"['TNNC1', 'SPTBN1', 'CAST', 'AOC1', 'S100A13', 'S100A8', 'S100A9', 'CP', 'BMP4', 'MGP', 'PDCD6', 'CALM1']",12,calcium,,
DB01375,Aluminium monostearate,"['TNNC1', 'VDAC1', 'VDAC2', 'VDAC3']",4,aluminiummonostearate,,
DB01380,Cortisone acetate,"['NR3C1', 'ESRRA', 'ANXA1']",3,cortisoneacetate,,
DB01393,Bezafibrate,"['PPARD', 'PPARG', 'PPARA', 'NR1I2', 'RXRA', 'RXRB']",6,bezafibrate,,
DB01395,Drospirenone,"['NR3C2', 'AR', 'NR3C1']",3,drospirenone,,
DB01396,Digitoxin,"['ATP1B2', 'ATP1B3', 'ATP1A1', 'ATP1B1']",4,digitoxin,,
DB01403,Methotrimeprazine,"['ADRA1A', 'ADRA1B', 'ADRA2B']",3,methotrimeprazine,,
DB01406,Danazol,"['ESR1', 'AR', 'CCL2']",3,danazol,Most-DILI,1.0
DB01412,Theobromine,"['NT5E', 'ADORA2A', 'PDE4B']",3,theobromine,,
DB01429,Aprindine,"['CALM2', 'CALM1', 'CALM3', 'CALM1']",4,aprindine,,
DB01472,4-Methoxyamphetamine,"['ADRA1A', 'MAOA', 'MAOB']",3,4methoxyamphetamine,,
DB01577,Metamfetamine,"['ADRA1B', 'ADRA2B', 'MAOA', 'MAOB']",4,metamfetamine,,
DB01586,Ursodeoxycholic acid,"['AKR1C2', 'BLVRA', 'NR1H4']",3,ursodeoxycholicacid,,
DB01592,Iron,"['HBA1', 'TFRC', 'EGLN1', 'HDAC8', 'FXN', 'FTH1', 'FEN1', 'NEIL1', 'NEIL2', 'POLB', 'CP', 'TF']",12,iron,,
DB01593,Zinc,"['MGMT', 'ALDOA', 'EEF1A1', 'ENO1', 'NME1', 'P4HB', 'PDIA3', 'PRDX1', 'PSPH', 'TPI1', 'TUFM', 'ESR1', 'CCS', 'HDAC1', 'HDAC4', 'SOD1', 'HDAC8', 'SIVA1', 'MDM2', 'UTRN', 'ASPA', 'S100A8', 'S100A9', 'MMP9', 'TP53', 'PDCD6', 'A1BG', 'A2M', 'AGT', 'AHSG', 'APCS', 'APOA1', 'APOA2', 'APOA4', 'APOBR', 'APOE', 'APOL1', 'C1QB', 'C1QC', 'C1R', 'C1S', 'C3', 'C4B', 'C4BPA', 'C4BPB', 'C5', 'BRCC3', 'C8A', 'C8B', 'C8G', 'CFB', 'CFH', 'CFI', 'CLU', 'CP', 'DSP', 'F12', 'F13B', 'F2', 'FCN3', 'FGA', 'FN1', 'GSN', 'HBA1', 'HBB', 'HPR', 'IGFALS', 'ITIH1', 'ITIH2', 'ITIH3', 'ITIH4', 'JCHAIN', 'JUP', 'KLKB1', 'KNG1', 'KRT1', 'KRT10', 'KRT5', 'KRT6A', 'ORM2', 'PON1', 'SELENOP', 'SERPINA1', 'SERPINA3', 'SERPINA6', 'SERPIND1', 'SHBG', 'TF', 'TTR', 'VTN', 'APLP2', 'APP', 'PARP1']",93,zinc,,
DB01632,5-O-phosphono-alpha-D-ribofuranosyl diphosphate,"['HPRT1', 'UCKL1', 'APRT']",3,5ophosphonoalphadribofuranosyldiphosphate,,
DB01643,Thymidine monophosphate,"['TK1', 'DTYMK', 'TYMS']",3,thymidinemonophosphate,,
DB01645,Genistein,"['NCOA1', 'ESR1', 'NCOA2', 'ESRRA', 'NR1I2', 'AKT1', 'GPER1', 'CYP1B1', 'SHBG', 'PTK2B']",10,genistein,,
DB01694,D-tartaric acid,"['B3GAT1', 'DDX6', 'HIF1AN', 'ATP6V1C1']",4,dtartaricacid,,
DB01708,Prasterone,"['G6PD', 'ESR1', 'AR', 'PPARA', 'SIGMAR1', 'NR1I2', 'NR1I3']",7,prasterone,,
DB01717,Bis(Adenosine)-5'-Pentaphosphate,"['ADK', 'ADK', 'ADK', 'AK2', 'ADK', 'AK1']",6,bisadenosine5pentaphosphate,,
DB01725,"2-{2-hydroxy-[1,1'-biphenyl]-3-yl}-1H-1,3-benzodiazole-5-carboximidamide","['F2', 'PLAU', 'PRSS1']",3,22hydroxy11biphenyl3yl1h13benzodiazole5carboximidamide,,
DB01727,Isocitric Acid,"['ACO2', 'IDH2', 'IDH1']",3,isocitricacid,,
DB01752,S-adenosyl-L-homocysteine,"['HNMT', 'GAMT', 'PRMT3', 'GNMT', 'PRMT1', 'SETD7', 'DPH5']",7,sadenosyllhomocysteine,,
DB01782,Pyrazolanthrone,"['MAPK9', 'MAPK8', 'MAPK8IP1']",3,pyrazolanthrone,,
DB01805,Monoisopropylphosphorylserine,"['PRSS2', 'PRSS1', 'ACHE']",3,monoisopropylphosphorylserine,,
DB01812,"Adenosine 3',5'-diphosphate","['RNASE1', 'SULT2A1', 'SULT1E1']",3,adenosine35diphosphate,,
DB01822,"(4R,5R)-1,2-dithiane-4,5-diol","['RELB', 'NFKB1', 'NFKB2', 'RELA', 'REL']",5,4r5r12dithiane45diol,,
DB01841,"4,6-Dideoxyglucose","['GAA', 'GANAB', 'GANC']",3,46dideoxyglucose,,
DB01852,Kaempherol,"['ALOX5', 'AKR1B1', 'GLO1', 'CYP1B1', 'AR', 'UGT3A1']",6,kaempherol,,
DB01861,Uridine diphosphate glucose,"['GALT', 'GALE', 'GALE', 'GYG1', 'GPR17']",5,uridinediphosphateglucose,,
DB01863,"Inositol 1,3,4,5-Tetrakisphosphate","['AKT1', 'CYTH2', 'CYTH3', 'PDPK1']",4,inositol1345tetrakisphosphate,,
DB01873,Epothilone D,"['TUBB', 'TUBB4B', 'TUBA4A', 'TUBA1C', 'TUBA1B', 'TUBA1A']",6,epothiloned,,
DB01915,S-Hydroxycysteine,"['PTPN1', 'CDC25B', 'SRC', 'C3', 'GSTP1', 'ACAT2', 'GSTA1']",7,shydroxycysteine,,
DB01942,Formic acid,"['ALAD', 'CA2', 'HMOX1', 'RNASE1', 'CTBP1', 'CASK', 'ACYP2', 'GPHN', 'CYTH2']",9,formicacid,,
DB01954,Rolipram,"['PDE4A', 'PDE4A', 'PDE4B']",3,rolipram,,
DB01972,Guanosine-5'-Monophosphate,"['DLG4', 'GUK1', 'GMPR', 'ATIC', 'GPT']",5,guanosine5monophosphate,,
DB01992,Coenzyme A,"['HMGCR', 'CRAT', 'KAT5', 'ACAT2', 'CS', 'DBI', 'KAT2A', 'KAT2B']",8,coenzymea,,
DB02007,alpha-D-glucose 6-phosphate,"['AKR1B1', 'HK1', 'GPI']",3,alphadglucose6phosphate,,
DB02010,Staurosporine,"['IKBKB', 'LCK', 'PIM1', 'SYK', 'MAPKAPK2', 'GSK3B', 'CSK', 'CDK2', 'PDPK1', 'ZAP70', 'PRKCA']",11,staurosporine,,
DB02052,Indirubin-3'-monoxime,"['CDK2', 'AHR', 'GSK3B', 'CDK5']",4,indirubin3monoxime,,
DB02059,Adenosine-5-Diphosphoribose,"['SIRT5', 'EEF2', 'GAPDH', 'SIRT3']",4,adenosine5diphosphoribose,,
DB02078,Triglyme,"['FYN', 'PFN2', 'PPIF']",3,triglyme,,
DB02116,Olomoucine,"['CDK2', 'CDK5', 'MAPK1']",3,olomoucine,,
DB02153,3-sulfino-L-alanine,"['GSR', 'PAPOLA', 'PRDX2']",3,3sulfinolalanine,,
DB02255,Ilomastat,"['MMP14', 'MMP2', 'MMP9']",3,ilomastat,,
DB02266,Flufenamic acid,"['AR', 'PTGS2', 'AKR1C3', 'PPARA', 'PPARG']",5,flufenamicacid,,
DB02287,2-(2-hydroxy-phenyl)-3H-benzoimidazole-5-carboxamidine,"['F2', 'PRSS1', 'PLAU']",3,22hydroxyphenyl3hbenzoimidazole5carboxamidine,,
DB02325,Isopropyl alcohol,"['NOS3', 'NR1H2', 'HMOX1', 'GCH1', 'PLA2G2A']",5,isopropylalcohol,,
DB02333,Deoxyuridine-5'-Triphosphate,"['MAF', 'DUT', 'DUT']",3,deoxyuridine5triphosphate,,
DB02338,NADPH,"['TXNRD1', 'DPYD', 'AASS']",3,nadph,,
DB02342,2-Methoxyestradiol,"['HIF1A', 'COMT', 'CYP1A1', 'CYP1B1']",4,2methoxyestradiol,,
DB02377,Guanine,"['GCH1', 'PNP', 'GPT']",3,guanine,,
DB02379,Beta-D-Glucose,"['GANAB', 'GANC', 'GAA', 'HK1', 'AMY2B', 'PYGL', 'GNPDA1', 'NUDT9', 'SMARCA5', 'ASPA', 'GALM']",11,betadglucose,,
DB02383,Tolrestat,"['SIGMAR1', 'AKR1B1', 'AKR1A1', 'AKR1B10']",4,tolrestat,,
DB02424,Geldanamycin,"['HSP90AA1', 'HSP90B1', 'HSP90AB1']",3,geldanamycin,,
DB02463,2-(2-Hydroxy-Phenyl)-1h-Indole-5-Carboxamidine,"['F2', 'PLG', 'PLAU', 'PLAT', 'PRSS1']",5,22hydroxyphenyl1hindole5carboxamidine,,
DB02482,Phosphonothreonine,"['AURKA', 'CDK7', 'MAPK1', 'PRKACA', 'PRKACB', 'S100A11']",6,phosphonothreonine,,
DB02494,(S)-3-phenyllactic acid,"['RPL13A', 'RPL23', 'RPL15', 'RPL19', 'RPL23A', 'RSL24D1', 'RPL26L1', 'RPL8', 'RPL37', 'RPL3', 'RPL11', 'SNU13', 'CPA1']",13,s3phenyllacticacid,,
DB02506,"2,6,8-Trimethyl-3-Amino-9-Benzyl-9-Methoxynonanoic Acid","['PPP1CA', 'PPP2R1A', 'PPP2CA', 'PPP2R5C', 'PPP2R2A']",5,268trimethyl3amino9benzyl9methoxynonanoicacid,,
DB02527,Cyclic adenosine monophosphate,"['PRKAR1A', 'PRKAR2B', 'CRP']",3,cyclicadenosinemonophosphate,,
DB02530,gamma-Aminobutyric acid,"['SLC6A1', 'GABBR1', 'GATM']",3,gammaaminobutyricacid,,
DB02546,Vorinostat,"['HDAC1', 'HDAC2', 'HDAC3', 'HDAC6', 'HDAC8', 'HDAC1']",6,vorinostat,,
DB02567,PD173955,"['PDGFRA', 'LCK', 'SRC', 'FGFR1', 'PDGFRB']",5,pd173955,,
DB02587,Colforsin,"['ADCY1', 'GNAS', 'ADCY5', 'KCNMA1', 'CREBBP', 'MAPK1', 'SERPINE1']",7,colforsin,,
DB02594,2'-Deoxycytidine,"['TK1', 'TK2', 'DCK']",3,2deoxycytidine,,
DB02659,Cholic Acid,"['FECH', 'CES1', 'ADH1C', 'COX4I1', 'MT-CO1', 'MT-CO2', 'MT-CO3', 'COX5A', 'COX5B', 'COX6C', 'COX7B', 'COX7C', 'COX8A', 'COX6A2', 'COX6B1', 'COX7A1', 'NR1H4']",17,cholicacid,,
DB02701,Nicotinamide,"['BST1', 'PARP1', 'SIRT5', 'LDHA']",4,nicotinamide,,
DB02709,Resveratrol,"['SIRT1', 'CSNK2A1', 'PTGS2', 'ALOX5', 'AHR', 'PI4K2B', 'ITGA5', 'APP', 'ESR1', 'CLEC14A', 'NR1I2', 'NR1I3', 'SLC2A1', 'CBR1', 'PPARA', 'PPARG', 'AKT1', 'KHSRP']",18,resveratrol,,
DB02721,4-Iodopyrazole,"['ADH1C', 'ADH1B', 'ADH1A']",3,4iodopyrazole,,
DB02726,2-Phosphoglycolic Acid,"['ENO3', 'PKLR', 'TPI1', 'PKM', 'ENO2']",5,2phosphoglycolicacid,,
DB02733,Purvalanol,"['CDK5', 'CDK2', 'SRPK2', 'CDK4', 'MAPK1', 'MAPK3']",6,purvalanol,,
DB02746,Phthalic Acid,"['ESR1', 'PPARA', 'PPARD', 'PPARG', 'RXRA', 'RXRB']",6,phthalicacid,,
DB02772,Sucrose,"['ACTA1', 'ATOX1', 'RTCB']",3,sucrose,,
DB02901,Stanolone,"['AR', 'ESR1', 'NR3C2']",3,stanolone,,
DB02910,Octanoyl-Coenzyme A,"['ECHS1', 'ECI1', 'ACADM']",3,octanoylcoenzymea,,
DB02930,Adenosine 5'-[gamma-thio]triphosphate,"['BST1', 'BCKDK', 'PFKFB1', 'PMS2']",4,adenosine5gammathiotriphosphate,,
DB02998,Metribolone,"['AR', 'NCOA2', 'NR3C2']",3,metribolone,,
DB03003,Glutathione sulfonic acid,"['GSTM4', 'GSTA1', 'GSTP1']",3,glutathionesulfonicacid,,
DB03010,Patupilone,"['TUBB', 'TUBB4B', 'TUBA4A', 'TUBA1C', 'TUBA1B', 'TUBA1A']",6,patupilone,,
DB03017,Lauric acid,"['TLR4', 'PLA2G2A', 'HNF4A', 'GLTP', 'C8G', 'LY96', 'PPARA', 'GM2A', 'ADH5']",9,lauricacid,,
DB03023,"1-Tert-Butyl-3-(4-Chloro-Phenyl)-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine","['LYN', 'SRC', 'LCK']",3,1tertbutyl34chlorophenyl1hpyrazolo34dpyrimidin4ylamine,,
DB03059,Acetoacetyl-CoA,"['HADH', 'ACADS', 'ECHS1']",3,acetoacetylcoa,,
DB03083,IC261,"['CSNK1A1', 'CSNK1E', 'CSNK1G2']",3,ic261,,
DB03127,Benzamidine,"['PRSS1', 'PLAU', 'ST14', 'CSNK2A1', 'PRSS2', 'PRSS3', 'ATOX1', 'ECI1']",8,benzamidine,,
DB03136,4-Iodobenzo[B]Thiophene-2-Carboxamidine,"['F2', 'F9', 'PLAU', 'PRSS1']",4,4iodobenzobthiophene2carboxamidine,,
DB03147,Flavin adenine dinucleotide,"['DPYD', 'XDH', 'GSR', 'MAOA', 'TXNRD1', 'MAOB', 'NDUFA9', 'ERO1B', 'CYB5R3', 'TPR', 'IVD', 'DLD', 'ACAD8', 'AIFM1', 'POR', 'GCDH', 'ACADM', 'DAO', 'ACADS', 'DLD', 'CYB5R1', 'FDXR', 'ACOX1', 'GFER']",24,flavinadeninedinucleotide,,
DB03159,CRA_8696,"['F2', 'PLAU', 'PRSS1']",3,cra8696,,
DB03206,Duvoglustat,"['GAA', 'GANAB', 'GANC', 'MAN1B1']",4,duvoglustat,,
DB03227,Nicotinamide Mononucleotide,"['BST1', 'NMNAT1', 'NMNAT3']",3,nicotinamidemononucleotide,,
DB03247,Flavin mononucleotide,"['BLVRB', 'HAO1', 'PNPO', 'RFK', 'DPYD', 'DHODH', 'SGK1', 'RPS6KA4', 'HAO2', 'POR', 'PPCDC']",11,flavinmononucleotide,,
DB03310,Glutathione disulfide,"['MGST1', 'GSTA1', 'GSTM2', 'GSR']",4,glutathionedisulfide,,
DB03316,"1,4-Dioxane","['TNFSF13B', 'EPN1', 'TGFB3']",3,14dioxane,,
DB03345,Mercaptoethanol,"['GLO1', 'CDC25B', 'CA2', 'ALAD', 'PDF', 'SERPINA1', 'PNPO', 'LGALS1', 'SCMH1']",9,mercaptoethanol,,
DB03366,Imidazole,"['AK2', 'PIM1', 'LTA4H', 'GPHN', 'CYCS']",5,imidazole,,
DB03397,Uridine-Diphosphate-N-Acetylglucosamine,"['UAP1', 'GALE', 'GALE', 'MGAT1']",4,uridinediphosphatenacetylglucosamine,,
DB03401,"1D-myo-inositol 1,4,5-trisphosphate","['ITPR1', 'ITPR3', 'ITPR2', 'CYTH2', 'EPN1', 'PLCD1', 'RDX', 'SPTBN1']",8,1dmyoinositol145trisphosphate,,
DB03413,Deoxyuridine-5'-Diphosphate,"['DUT', 'DUT', 'DUT']",3,deoxyuridine5diphosphate,,
DB03419,Uracil,"['DPYD', 'UCKL1', 'UNG']",3,uracil,,
DB03435,Uridine-5'-Diphosphate,"['GALT', 'B3GAT1', 'CMPK1', 'GALE', 'B3GAT3', 'GALE', 'GYG1', 'GPR17']",8,uridine5diphosphate,,
DB03461,Nicotinamide adenine dinucleotide phosphate,"['AKR1B1', 'AKR1C2', 'NNT', 'HSD11B1', 'SPR', 'DCXR', 'IDH1', 'AKR1C1', 'G6PD', 'DHFR', 'MTHFD1', 'AKR1C3', 'BLVRB', 'HMGCR', 'ADH1B', 'POR', 'ME1', 'DHRS11', 'HSD17B8', 'AKR1A1', 'FDXR', 'AKR1B10']",22,nicotinamideadeninedinucleotidephosphate,,
DB03467,Naringenin,"['ESR1', 'AKR1C1', 'CYP1B1', 'KANSL3', 'SHBG']",5,naringenin,,
DB03496,Alvocidib,"['CDK9', 'PYGB', 'PYGL', 'CDK7', 'CDK5', 'CDK6', 'EGFR', 'CDK4', 'CDK8', 'CDK2']",10,alvocidib,,
DB03501,Galactose-uridine-5'-diphosphate,"['GALE', 'B4GALT1', 'GPR17']",3,galactoseuridine5diphosphate,,
DB03516,Eniluracil,"['DPYD', 'AOX1', 'XDH']",3,eniluracil,,
DB03600,Capric acid,"['FURIN', 'GLTP', 'PPARG']",3,capricacid,,
DB03608,Diminazene,"['PRSS1', 'AOC1', 'PRDX5']",3,diminazene,,
DB03619,Deoxycholic acid,"['PCNA', 'EFL1', 'NR1H4', 'GSTP1', 'GSTA1']",5,deoxycholicacid,,
DB03661,L-cysteic acid,"['CDC25B', 'PTPN1', 'CTSL']",3,lcysteicacid,,
DB03685,Uridine monophosphate,"['UCKL1', 'GALT', 'LSM6', 'B4GALT1']",4,uridinemonophosphate,,
DB03721,N-acetyl-alpha-neuraminic acid,"['SELE', 'CES1', 'MBL2', 'REG1A']",4,nacetylalphaneuraminicacid,,
DB03756,Doconexent,"['PPARA', 'PTGS2', 'PPARG', 'RXRA', 'RXRB', 'SREBF1', 'MYC']",7,doconexent,,
DB03758,Radicicol,"['HSP90AA1', 'HSP90AB1', 'HSP90B1', 'DLAT', 'PDK3']",5,radicicol,,
DB03760,Dihydrolipoic Acid,"['GCSH', 'DLAT', 'PDK3']",3,dihydrolipoicacid,,
DB03777,Bisindolylmaleimide I,"['MAPK8', 'GSK3B', 'MAPK14', 'MAPK11', 'LCK', 'AKT1', 'MAPK1', 'SGK1', 'PRKCZ', 'ROCK1', 'PDPK1', 'PRKCI', 'PIM1']",13,bisindolylmaleimidei,,
DB03796,Palmitic Acid,"['FABP4', 'FABP5', 'PPARA', 'PPT1', 'HNF4G', 'CYP2C8', 'TRAPPC3']",7,palmiticacid,,
DB03800,Deoxyuridine monophosphate,"['DUT', 'TYMS', 'DUT']",3,deoxyuridinemonophosphate,,
DB03814,2-(N-morpholino)ethanesulfonic acid,"['HSD11B1', 'PDF', 'ACHE', 'BCHE', 'GSTP1', 'B4GALT1', 'QDPR', 'ASL', 'ARL3', 'L3MBTL1', 'PRDX6']",11,2nmorpholinoethanesulfonicacid,,
DB03847,gamma-carboxy-L-glutamic acid,"['F2', 'F9', 'F10', 'BGLAP']",4,gammacarboxylglutamicacid,,
DB03865,6-Chloro-2-(2-Hydroxy-Biphenyl-3-Yl)-1h-Indole-5-Carboxamidine,"['F2', 'PRSS1', 'PLAU']",3,6chloro22hydroxybiphenyl3yl1hindole5carboxamidine,,
DB03886,Biopterin,"['PDF', 'SPR', 'PTS', 'DHFR']",4,biopterin,,
DB03900,tert-butanol,"['CALM2', 'CALM1', 'CALM3', 'METAP2', 'RNASE1', 'TPI1', 'CALM1']",7,tertbutanol,,
DB03904,Urea,"['DHFR', 'ARG1', 'CA2', 'CTNNB1']",4,urea,,
DB03909,"Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate","['INSR', 'PDXK', 'PGK1']",3,adenosine5betagammamethylenetriphosphate,,
DB03948,"6-Chloropurine Riboside, 5'-Monophosphate","['PPAT', 'IMPDH2', 'IMPDH1']",3,6chloropurineriboside5monophosphate,,
DB03963,S-(Dimethylarsenic)Cysteine,"['TLR2', 'NOS3', 'COPG1', 'XRCC4', 'MSRA']",5,sdimethylarseniccysteine,,
DB03976,Phosphorylisopropane,"['PRSS2', 'CTRB1', 'PRSS1']",3,phosphorylisopropane,,
DB03977,Trimethyllysine,"['CALM2', 'CALM1', 'CALM3', 'CYCS', 'CALM1']",5,trimethyllysine,,
DB04005,Uridine 5'-triphosphate,"['P2RY2', 'P2RY11', 'UCK2']",3,uridine5triphosphate,,
DB04014,Alsterpaullone,"['CDK2', 'CDK5', 'GSK3B']",3,alsterpaullone,,
DB04083,N(6)-(pyridoxal phosphate)-L-lysine,"['KYAT1', 'ODC1', 'AGXT']",3,n6pyridoxalphosphatellysine,,
DB04132,S-Hexylglutathione,"['GLO1', 'GSTM4', 'GSTP1', 'GSTA1']",4,shexylglutathione,,
DB04137,Guanosine-5'-Triphosphate,"['GCH1', 'UCKL1', 'HRAS', 'RND3', 'RHEB', 'PFKFB1', 'RAB5A', 'ARF1', 'GLUD1', 'RAP2A']",10,guanosine5triphosphate,,
DB04141,"2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,4,5-Triol","['CYC1', 'MT-CYB', 'UQCRC1', 'UQCRC2', 'UQCRH', 'UQCRQ', 'UQCRFS1', 'UQCRB', 'UQCR10', 'SDHA', 'SDHB', 'SDHD', 'ETFDH', 'SDHC']",14,2hexyloxy6hydroxymethyltetrahydropyran345triol,,
DB04147,Dodecyldimethylamine N-oxide,"['DSTN', 'NFE2L1', 'CFL1', 'DHODH', 'MAOB']",5,dodecyldimethylaminenoxide,,
DB04209,Dequalinium,"['KCNN2', 'XIAP', 'CNGA1', 'KCNMA1', 'PRKCA', 'CALM1']",6,dequalinium,,
DB04216,Quercetin,"['STAT3', 'LPCAT1', 'UGT3A1', 'PIM1', 'HIBCH', 'ESR1', 'AHR', 'CYP1B1', 'ACTB', 'CSNK2A1', 'CSNK2B', 'EIF3F', 'HSP90AA1', 'HSPA2', 'RUVBL2', 'SF3B3', 'UBA1', 'SHBG', 'CBR1', 'CEBPB', 'NR1I2', 'HCK']",22,quercetin,,
DB04224,Oleic Acid,"['FABP4', 'FABP1', 'PPARA', 'PPARD', 'RXRA', 'PPARG']",6,oleicacid,,
DB04272,Citric acid,"['TRPV4', 'AKR1B1', 'CS', 'SRC', 'RNASE1', 'CTDSP1', 'HGS', 'MDH2', 'CPB1', 'RTCA', 'LSM6', 'C8G', 'APRT', 'RPIA', 'ITPA']",15,citricacid,,
DB04297,Trichostatin A,"['HDAC7', 'HDAC8', 'CASP8']",3,trichostatina,,
